,OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,GAME_ID
2,202058,James,Williams,60  ,0021600849
0,1162,Scott,Foster,48  ,0021700391
1,1198,Scott,Wall,31  ,0021700391
2,200832,Curtis,Blair,74  ,0021700391
0,1151,Sean,Corbin,33  ,0021700953
1,1188,Leroy,Richardson,20  ,0021700953
2,2001,Jason,Phillips,23  ,0021700953
0,1201,Leon,Wood,40  ,0021800383
1,2002,Derrick,Collins,11  ,0021800383
2,101284,John,Goble,30  ,0021800383
0,1174,Ken,Mauer,41  ,0021800889
1,1179,Rodney,Mott,71  ,0021800889
2,202901,Matt,Myers,43  ,0021800889
0,1176,Monty,McCutchen,13  ,0021600027
1,2148,Mark,Ayotte,56  ,0021600027
2,1626302,Aaron,Smith,51  ,0021600027
0,1162,Scott,Foster,48  ,0021601189
1,1179,Rodney,Mott,71  ,0021601189
2,202000,Steve,Anderson,35  ,0021601189
0,201245,Marat,Kogut,32  ,0021700506
1,201640,Kane,Fitzgerald,5   ,0021700506
2,202037,J.T.,Orr,72  ,0021700506
0,1830,Marc,Davis,8   ,0021800239
1,202049,Ben,Taylor,46  ,0021800239
2,1626302,Aaron,Smith,51  ,0021800239
0,1147,Mike,Callahan,24  ,0021801087
1,202049,Ben,Taylor,46  ,0021801087
2,202056,CJ,Washington,12  ,0021801087
0,2005,Matt,Boland,18  ,0021600068
1,2530,Ed,Malloy,14  ,0021600068
2,200832,Curtis,Blair,74  ,0021600068
0,1179,Rodney,Mott,71  ,0021600488
1,1201,Leon,Wood,40  ,0021600488
2,2882,Sean,Wright,4   ,0021600488
0,1176,Monty,McCutchen,13  ,0021700001
1,1193,Michael,Smith,38  ,0021700001
2,101283,Brian,Forte,45  ,0021700001
0,1174,Ken,Mauer,41  ,0021800797
1,201245,Marat,Kogut,32  ,0021800797
2,1627963,Phenizee,Ransom,70  ,0021800797
0,1148,James,Capers,19  ,0021801108
1,201245,Marat,Kogut,32  ,0021801108
2,1627963,Phenizee,Ransom,70  ,0021801108
0,2534,Zach,Zarba,15  ,0021600107
1,101283,Brian,Forte,45  ,0021600107
2,203593,Justin,Van Duyne,64  ,0021600107
